country,province,culture_norm,language,major_event_date,major_event_desc,food_culture,important_cities,religious_practices,taboos
Indonesia,Aceh,"When visiting Aceh, respect local cultural norms. Women should wear modest clothing (e.g., hijab) and men avoid wearing shorts in public. Alcohol is prohibited.","Bahasa Aceh, Gayo, Alas, Tamiang",4/21/2025,Eid al-Fitr,"In Aceh, the eating etiquette involves using the right hand as a sign of respect. Food is served on white rice and eaten together. Sharing food with neighbors is an important tradition, and guests are honored with the best dishes. All food must be halal according to Islamic teachings.","Banda Aceh, Lhokseumawe, Meulaboh","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Alcohol consumption is strictly prohibited, and gambling is illegal under Sharia law. Public displays of affection, such as kissing and hugging, are considered inappropriate."
Indonesia,Sumatera Utara,"When visiting North Sumatra, it is important to respect the local cultural norms rooted in Batak traditions and the customs of diverse ethnic groups such as the Karo, Mandailing, and Nias. Social interactions often follow the Dalihan Na Tolu principle, a kinship system emphasizing respect among three social roles: Hula-hula (maternal family), Dongan Tubuh (same clan), and Boru (in-laws or daughters). Visitors should address elders and community leaders with respect and be aware of the direct, straightforward communication style commonly used. Participation in community events, such as weddings or traditional ceremonies, may involve helping with tasks, reflecting a strong sense of gotong royong (mutual cooperation). Guests are warmly welcomed and often offered traditional foods, like arsik (spiced fish).","Bahasa Batak, Toba, Mandailing, Simalungun, Pakpak (Dairi), and Karo.",1/29/2025,Chinese New Year,"In North Sumatra, the eating etiquette involves using the right hand as a sign of respect, with food served on a communal plate and eaten together. It is important to allow elders to take the first portion, and maintaining a respectful silence during the meal is valued.","Medan, Pematangsiantar, Binjai","During Chinese New Year, the Chinese community celebrates by praying at temples, making offerings to ancestors, and holding ceremonies to invite prosperity for the new year.","When visiting North Sumatra should avoid sitting on pillows, which are believed to bring bad luck, whistling at night, as it is thought to summon spirits, and touching the heads of Batak people, as it is considered a highly respected part of the body according to local customs."
Indonesia,Sumatera Barat,"When visiting West Sumatra, it is essential to respect the local cultural norms deeply rooted in Minangkabau traditions, which are governed by the principle of ""Adat basandi syarak, syarak basandi Kitabullah"" (custom based on religion, with religion rooted in the Qur'an). Social interactions often reflect high regard for the roles of ninik mamak (traditional leaders) and elders, who are given a position of respect in decision-making and community matters. Visitors should approach interactions with humility, address community leaders and elders respectfully, and be aware that maintaining strong family and communal bonds is a core value.","In addition to Bahasa Minangkabau, Pasaman, Agam-Tanah Datar, Lima Puluh Kota, Koto Baru, and Pancung Soal.",7/1/2025,Festival Tabuik Pariaman,"In West Sumatra, dining culture includes prioritizing guests by serving them first and observing etiquette, such as waiting until all dishes are served before starting to eat, while valuing togetherness throughout the meal.","Padang, Bukittinggi, Payakumbuh","The Tabuik Festival in Pariaman is a sacred religious commemoration for the local Muslim community, combining spiritual and cultural processions to honor the martyrdom of Imam Husain, where tourists are expected to maintain respectful behavior and understand the festival's profound spiritual significance.","When visiting West Sumatra, tourists should avoid touching the heads of older people, as it is considered a highly respected part of the body, speaking loudly or rudely in front of elders, sitting on pillows, as it is believed to bring bad luck, eating without permission in front of elders or guests, pointing with feet, and calling older people by their first names, as these actions are considered disrespectful according to Minangkabau cultural norms."
Indonesia,Riau,"When visiting Riau, it is essential to be mindful of the local cultural norms rooted in the Malay traditions, especially the concept of adat (customary law), which plays a vital role in social interactions. Visitors should show respect towards elders and community leaders, adhere to formal modes of address, and dress modestly, particularly when attending cultural events or religious ceremonies. Additionally, the gotong royong (mutual cooperation) spirit is highly valued in the community, so participating in collective activities is appreciated. Be mindful of the more reserved communication style, especially in rural areas, and always approach people with politeness and courtesy","In addition to the Bahasa Melayu Riau, Kuantan, Pangaraian, Pesisir, Siak-Pekanbaru, and Tembilahan.",10/18/2025,Kenduri Melayu,"In Riau Province, there is a tradition of eating together while sitting cross-legged, using the right hand without utensils, and waiting for the elders to start as a sign of respect and to maintain proper etiquette according to Malay customs.","Pekanbaru, Dumai, Bengkalis","The Kenduri Melayu is a religious and cultural gathering that involves communal meals with prayers of gratitude, where tourists are expected to respect the customs, such as adhering to proper eating etiquette, honoring elders, and maintaining a respectful demeanor during prayers and celebrations.","Tourists visiting Riau should avoid touching other people's heads, speaking in a loud tone in front of elders, and respecting Malay customs, such as not sitting on tables or wearing clothing considered inappropriate in public places or traditional events, to show respect for the local culture that is carefully preserved."
Indonesia,Kepulauan Riau,"Visitors are encouraged to understand the strong Malay cultural influence here, which values politeness, community spirit, and respect for local traditions like the Tepuk Tepung Tawar ceremony. Proper attire is expected when visiting religious sites","Bahasa Melayu, Bugis, and Javanese.",1/29/2025,Chinese New Year,"Eating involves shared dishes with rice as a staple, seafood being prominent, and food often eaten with hands.","Tanjung Pinang, Batam","During Chinese New Year, the Chinese community celebrates by praying at temples, making offerings to ancestors, and holding ceremonies to invite prosperity for the new year.","Avoid speaking loudly in public spaces, touching the head of another person, and wearing overly revealing clothes."
Indonesia,Jambi,"This province, known for its rich cultural heritage, emphasizes the importance of respecting elders and adhering to traditional ceremonies. Visitors should be mindful of the local customs, such as dressing modestly, particularly in sacred places","Bahasa Jambi, Melayu Jambi",10/26/2025,The Festival Candi Muaro Jambi.,"Eating etiquette involves sitting together on the floor, using the right hand to eat without utensils, and waiting for elders to begin as a sign of respect, while maintaining a quiet and humble demeanor in accordance with local traditions.","Jambi City, Muara Bulian",Religious practices involve communal prayers and participating in traditional Islamic celebrations and fasting.,"It is taboo to interrupt traditional ceremonies, to not remove footwear before entering homes, or to touch elders' heads."
Indonesia,Sumatera Selatan,"Visitors are advised to respect local customs, particularly in relation to family values and ceremonies. Modesty in clothing is important, and understanding local taboos, such as avoiding public displays of affection, is crucial​.","Bahasa Palembang, Malay, Komering",6/6/2025,Eid al-Adha,"Eating etiquette involves sitting on the floor, using the right hand to eat without utensils, sharing food in a communal manner, and waiting for elders to start as a sign of respect, while maintaining a modest and polite demeanor in line with Palembang’s cultural values.","Palembang, Lubuklinggau, Prabumulih","On Eid al-Adha, religious practices involve the slaughtering of sacrificial animals such as cows and goats. The meat is shared with the poor, reflecting the value of charity and community. People gather for prayers at the mosque, and it is a time for reflection and thanksgiving.","Avoid criticizing traditional food, touching others' heads, and behaving in a loud or confrontational manner."
Indonesia,Kepulauan Bangka Belitung,"Tourists should be aware of the influence of the diverse ethnic groups here, especially the Malay community, which values modesty, courtesy, and respect for local traditions such as the Bangka dance. Maintaining decorum at religious sites is also a key point","Bahasa Melayu, Hakka Chinese, Javanese",4/21/2025,Eid al-Fitr,"eating etiquette emphasizes using the right hand without utensils, sitting together on the floor, sharing dishes in a communal setting, and waiting for elders to begin as a sign of respect, all while maintaining a polite and humble demeanor in keeping with local traditions.","Pangkal Pinang, Sungailiat, Toboali","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid public displays of affection, disrespecting elders, and touching food with the left hand."
Indonesia,Bengkulu,Cultural norms focus on respect for elders and understanding the province’s strong connection to Islamic values. Visitors are encouraged to dress conservatively and follow local customs when interacting with community leaders,"Bahasa Bengkulu, Rejang, Malay",6/6/2025,Eid al-Adha,"eating etiquette involves sitting together on the floor, using the right hand without utensils, allowing elders to take the first portion as a mark of respect, and maintaining a humble and respectful demeanor throughout the meal, reflecting the local cultural values.","Bengkulu City, Manna, Curup","On Eid al-Adha, religious practices involve the slaughtering of sacrificial animals such as cows and goats. The meat is shared with the poor, reflecting the value of charity and community. People gather for prayers at the mosque, and it is a time for reflection and thanksgiving.","Avoid stepping over food or religious offerings, using the left hand for giving items, and speaking harshly to elders."
Indonesia,Lampung,"Visitors to Lampung are advised to show respect for the local traditions, especially in interactions with the people. Local customs related to greeting rituals and the proper conduct in family-oriented events should be followed.","Bahasa Lampung, Komering, Javanese",4/21/2025,Eid al-Fitr,"Food is rich with seafood, with dishes like seruit (spicy fish with chili and tempoyak) being traditional.","Bandar Lampung, Metro, Kotabumi","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid stepping on pillows, pointing with feet, and interrupting traditional events or ceremonies."
Indonesia,DKI Jakarta,"Being the capital, etiquette involves a mix of modern urban and traditional norms. Greet elders with ""Bapak/Ibu"" and show respect for diverse cultures. Dress modestly in formal events.","Bahasa Indonesia, Betawi, Sundanese",4/21/2025,Eid al-Fitr,"Jakarta’s food scene is diverse, with popular dishes like nasi goreng, soto Betawi, and kerak telor (traditional omelet).","Jakarta, East Jakarta, South Jakarta","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid littering, making offensive gestures, and being disrespectful during religious or cultural events."
